"Id","Name","Pricebook2Id","Product2Id","CurrencyIsoCode","UnitPrice","IsActive","UseStandardPrice","ProductCode","IsDeleted"
"01u1N00000EDgtaQAD","Professional Services Project","01s1N000006ode7QAA","01t1N00000EURKdQAP","USD","0.0","true","false","SV-PRJ","false"
"01u1N00000EDgtbQAD","Program Director","01s1N000006ode7QAA","01t1N00000EURKeQAP","USD","525.0","true","false","SV-PD","false"
"01u1N00000EDgtcQAD","Project Manager","01s1N000006ode7QAA","01t1N00000EURKfQAP","USD","170.0","true","false","SV-PMN","false"
"01u1N00000EDgtdQAD","Solutions Architect","01s1N000006ode7QAA","01t1N00000EURKgQAP","USD","300.0","true","false","SV-SAT","false"
"01u1N00000EDgteQAD","Implementation Engineer","01s1N000006ode7QAA","01t1N00000EURKhQAP","USD","100.0","true","false","SV-IMP","false"
"01u1N00000EDgtfQAD","Additional Expense Report Reimbursement","01s1N000006ode7QAA","01t1N00000EURKiQAP","USD","1.23","true","false","S-TE-ADDR","false"
"01u1N00000EDgtgQAD","T&E Training Portal for End Users","01s1N000006ode7QAA","01t1N00000EURMHQA5","USD","8500.0","true","false","S-TE-UTP","false"
"01u1N00000EDgthQAD","Quick Start Enablement","01s1N000006ode7QAA","01t1N00000EURLNQA5","USD","5000.0","true","false","SV-QSE","false"
"01u1N00000EDgtiQAD","Time and Expense SaaS Suite","01s1N000006ode7QAA","01t1N00000EURLpQAP","EUR","0.0","true","false","S-TE-SAAS","false"
"01u1N00000EDgtjQAD","T&E Suite Admin License","01s1N000006ode7QAA","01t1N00000EURLsQAP","EUR","74.0","true","false","S-TE-ADM","false"
"01u1N00000EDgtkQAD","T&E Suite Time and Expense User License","01s1N000006ode7QAA","01t1N00000EURLmQAP","EUR","55.0","true","false","S-TE-USER","false"
"01u1N00000EDgtlQAD","T&E Suite Finance and Reporting License","01s1N000006ode7QAA","01t1N00000EURLoQAP","EUR","23.0","true","false","S-TE-FR","false"
"01u1N00000EDgtmQAD","Report Exporting Tools","01s1N000006ode7QAA","01t1N00000EURKZQA5","EUR","6440.0","true","false","S-TE-REPX","false"
"01u1N00000EDgtnQAD","Expense Reimbursement Unlimited","01s1N000006ode7QAA","01t1N00000EURKaQAP","EUR","5520.0","true","false","S-TE-PAYU","false"
"01u1N00000EDgtoQAD","Project Cost Tracking","01s1N000006ode7QAA","01t1N00000EURMFQA5","EUR","4600.0","true","false","S-TE-COST","false"
"01u1N00000EDgtOQAT","Dell PowerEdge Server","01s1N000006ode7QAA","01t1N00000EURLrQAP","USD","2150.0","true","false","H-SVR-DELL-Changed","false"
"01u1N00000EDgtpQAD","T&E Admin Training","01s1N000006ode7QAA","01t1N00000EURKcQAP","EUR","506.0","true","false","S-TE-ADTR","false"
"01u1N00000EDgtPQAT","Time and Expense SaaS Suite","01s1N000006ode7QAA","01t1N00000EURLpQAP","USD","0.0","true","false","S-TE-SAAS","false"
"01u1N00000EDgtqQAD","T&E Reporting Training Portal for End Users","01s1N000006ode7QAA","01t1N00000EURMGQA5","EUR","5060.0","true","false","S-TE-FTP","false"
"01u1N00000EDgtQQAT","T&E Suite Admin License","01s1N000006ode7QAA","01t1N00000EURLsQAP","USD","80.0","true","false","S-TE-ADM","false"
"01u1N00000EDgtrQAD","Professional Services Project","01s1N000006ode7QAA","01t1N00000EURKdQAP","EUR","0.0","true","false","SV-PRJ","false"
"01u1N00000EDgtRQAT","T&E Suite Time and Expense User License","01s1N000006ode7QAA","01t1N00000EURLmQAP","USD","60.0","true","false","S-TE-USER","false"
"01u1N00000EDgtsQAD","Program Director","01s1N000006ode7QAA","01t1N00000EURKeQAP","EUR","483.0","true","false","SV-PD","false"
"01u1N00000EDgtSQAT","Expense Reimbursement Block","01s1N000006ode7QAA","01t1N00000EURLqQAP","USD","1000.0","true","false","S-TE-PAY","false"
"01u1N00000EDgttQAD","Project Manager","01s1N000006ode7QAA","01t1N00000EURKfQAP","EUR","156.0","true","false","SV-PMN","false"
"01u1N00000EDgtTQAT","T&E Admin Training","01s1N000006ode7QAA","01t1N00000EURKcQAP","USD","550.0","true","false","S-TE-ADTR","false"
"01u1N00000EDgtuQAD","Solutions Architect","01s1N000006ode7QAA","01t1N00000EURKgQAP","EUR","276.0","true","false","SV-SAT","false"
"01u1N00000EDgtUQAT","Professional Services Hours (Blended Rate)","01s1N000006ode7QAA","01t1N00000EURKjQAP","USD","225.0","true","false","SV-PSH","false"
"01u1N00000EDgtvQAD","Implementation Engineer","01s1N000006ode7QAA","01t1N00000EURKhQAP","EUR","92.0","true","false","SV-IMP","false"
"01u1N00000EDgtVQAT","Custom Product Request","01s1N000006ode7QAA","01t1N00000EURLQQA5","USD","0.0","true","false","CP-1110","false"
"01u1N00000EDgtwQAD","Data Normalization Expert","01s1N000006ode7QAA","01t1N00000EURKkQAP","EUR","230.0","true","false","SV-DNE","false"
"01u1N00000EDgtWQAT","T&E Suite Finance and Reporting License","01s1N000006ode7QAA","01t1N00000EURLoQAP","USD","25.0","true","false","S-TE-FR","false"
"01u1N00000EDgtxQAD","Quality Assurance Engineer","01s1N000006ode7QAA","01t1N00000EURKlQAP","EUR","138.0","true","false","SV-QAE","false"
"01u1N00000EDgtXQAT","Report Exporting Tools","01s1N000006ode7QAA","01t1N00000EURKZQA5","USD","7000.0","true","false","S-TE-REPX","false"
"01u1N00000EDgtyQAD","Project Cost Tracking","01s1N000006ode7QAA","01t1N00000EURMFQA5","USD","5000.0","true","false","S-TE-COST","false"
"01u1N00000EDgtYQAT","Expense Reimbursement Unlimited","01s1N000006ode7QAA","01t1N00000EURKaQAP","USD","6000.0","true","false","S-TE-PAYU","false"
"01u1N00000EDgtzQAD","T&E Reporting Training Portal for End Users","01s1N000006ode7QAA","01t1N00000EURMGQA5","USD","5500.0","true","false","S-TE-FTP","false"
"01u1N00000EDgtZQAT","Billing Hours Tracking-changed","01s1N000006ode7QAA","01t1N00000EURKbQAP","USD","8000.0","true","false","S-TE-BILL-modified","false"
"01u1N00000EDgu0QAD","Annual Hosting Fee","01s1N000006ode7QAA","01t1N00000EURMIQA5","USD","7500.0","true","false","SV-TE-HOST","false"
"01u1N00000EDgu1QAD","Professional Services Scope of Work","01s1N000006ode7QAA","01t1N00000EURLOQA5","USD","20000.0","true","false","SV-SOW","false"
"01u1N00000EDgu2QAD","Quality Assurance Engineer","01s1N000006ode7QAA","01t1N00000EURKlQAP","USD","150.0","true","false","SV-QAE","false"
"01u1N00000EDgu3QAD","Integration Specialist Engineer","01s1N000006ode7QAA","01t1N00000EURKnQAP","USD","225.0","true","false","SV-ISE","false"
"01u1N00000EDgu4QAD","Data Normalization Expert","01s1N000006ode7QAA","01t1N00000EURKkQAP","USD","250.0","true","false","SV-DNE","false"
"01u1N00000EDgu5QAD","Module Extension Engineer","01s1N000006ode7QAA","01t1N00000EURLHQA5","USD","525.0","true","false","SV-MEE","false"
"01u1N00000EDgu6QAD","Intel Xeon E5-2660 v4 2.0GHz,35M Cache,9.60GT/s QPI,Turbo,HT,14C/28T (105W)","01s1N000006ode7QAA","01t1N00000EURMWQA5","USD","1855.0","true","false","INTEL E5-2660","false"
"01u1N00000EDgu7QAD","32GB RDIMM, 2133MT/s","01s1N000006ode7QAA","01t1N00000EURKuQAP","USD","480.0","true","false","MEM 32GB","false"
